CODE,TITLE,R1_POINTS_2019,R2_POINTS_2019,EOS_2019,MID_2019,R1_POINTS_2020,R2_POINTS_2020,EOS_2020,MID_2020,R1_POINTS_2021,R2_POINTS_2021
DC230,Economics Politics and Law                        ,400,,400,431.0,435,,435,462,431,
DC231,International Relations                           ,387,,387,445.0,397,,397,433,398,
DC232,Law and Society (BCL)                             ,453,,453,487.0,466,,466,496,469,
DC235,Education and Training - Daytime Delivery Mode (fu,307,,307,327.0,309,,309,357,302,
DC238,Social Sciences and Cultural Innovation           ,358,,358,388.0,377,,377,411,387,
DC239,Gaeilge  Iriseoireacht agus na Meáin Dhigiteacha  ,,,,,430,,430,473,,
DC240,Marketing Innovation and Technology               ,451,,451,474.0,476,474,474,498,499,
DC241,Digital Business and Innovation                   ,,,,,,,,,509,
DC291,Arts (Joint Honours) - Media Studies              ,349,,349,392.0,376,,376,409,350,
DC292,Arts (Joint Honours) - Law                        ,356,,356,388.0,403,,403,430,400,
DC293,Arts (Joint Honours) - International Languages    ,369,,369,400.0,377,,377,466,379,
DC294,Climate and Environmental Sustainability          ,,,,,,,,,475,
DC295,Arts (Joint Honours) - Politics                   ,348,,348,387.0,376,,376,409,349,
DK810,Accounting and Finance                            ,306,306,306,391.0,305,305,305,401,307,307
DK816,Business Studies                                  ,300,,300,357.0,300,300,300,367,301,301
DK820,Computing in Games Development                    ,325,325,307,369.0,311,311,311,348,309,309
DK821,Computing in Software Development                 ,305,301,301,347.0,302,302,302,361,320,316
DK822,Augmented and Virtual Reality                     ,,,,,307,,304,380,320,320
DK830,Building Surveying                                ,302,302,302,349.0,336,,336,352,305,
DK831,Architectural Technology                          ,301,301,301,366.0,389,,389,433,368,314
DK832,Construction Management                           ,300,300,300,329.0,387,,387,419,358,305
DK843,Engineering (Common Entry)                        ,345,,303,402.0,340,340,340,439,404,391
DK844,Mechanical Engineering                            ,,,,,305,305,305,448,336,336
DK845,Electrical & Electronic Engineering               ,,,,,304,304,304,392,331,331
